sepal_length sepal_width petal_length petal_width class
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw1 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl2 sw3 pl1 pw1 Iris_setosa
sl2 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl2 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl2 sw3 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl2 sw3 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw1 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw2 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl1 sw3 pl1 pw1 Iris_setosa
sl3 sw2 pl2 pw2 Iris_versicolor
sl3 sw2 pl2 pw2 Iris_versicolor
sl3 sw2 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl3 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw3 pl2 pw2 Iris_versicolor
sl1 sw1 pl2 pw2 Iris_versicolor
sl3 sw1 pl2 pw2 Iris_versicolor
sl1 sw1 pl2 pw2 Iris_versicolor
sl1 sw1 pl2 pw2 Iris_versicolor
sl2 sw2 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl3 sw2 pl2 pw2 Iris_versicolor
sl2 sw2 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw2 pl2 pw3 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl3 sw1 pl2 pw2 Iris_versicolor
sl3 sw2 pl2 pw2 Iris_versicolor
sl3 sw1 pl2 pw2 Iris_versicolor
sl3 sw2 pl3 pw3 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl3 pw2 Iris_versicolor
sl1 sw2 pl2 pw2 Iris_versicolor
sl2 sw3 pl2 pw2 Iris_versicolor
sl3 sw2 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw2 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw2 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl1 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw2 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl2 sw1 pl2 pw2 Iris_versicolor
sl1 sw1 pl2 pw2 Iris_versicolor
